time;V(/vout);
0;0;
1e-14;2e-13;
2e-14;6e-13;
4e-14;1.8e-12;
8e-14;6.6e-12;
1.6e-13;2.58e-11;
3.2e-13;1.026e-10;
6.4e-13;4.098e-10;
1e-12;1.0002e-09;
1.064e-12;1.1282e-09;
1.192e-12;1.3842e-09;
1.448e-12;1.8962e-09;
1.96e-12;2.9202e-09;
2.984e-12;4.9682e-09;
5.032e-12;9.0642e-09;
9.128e-12;1.72562e-08;
1.732e-11;3.36402e-08;
3.3704e-11;6.64082e-08;
6.6472e-11;1.31944e-07;
1.32008e-10;2.63016e-07;
2.6308e-10;5.2516e-07;
5.25224e-10;1.04945e-06;
1.04951e-09;2.09802e-06;
2.09809e-09;4.19517e-06;
4.19524e-09;8.38947e-06;
8.38954e-09;1.67781e-05;
1.67782e-08;3.35552e-05;
3.35554e-08;6.71092e-05;
6.71098e-08;0.000134216;
1.34219e-07;0.000268427;
2.68436e-07;0.000536836;
5.36872e-07;0.0010736;
1.07374e-06;0.00214691;
2.14748e-06;0.00429266;
4.29497e-06;0.00858072;
8.58994e-06;0.017143;
1.71799e-05;0.0342126;
3.43597e-05;0.0681328;
6.87195e-05;0.135106;
0.000137439;0.26566;
0.000209439;0.397719;
0.000281439;0.525109;
0.000353439;0.647993;
0.000425439;0.766531;
0.000497439;0.880878;
0.000569439;0.991181;
0.000641439;1.09758;
0.000713439;1.20022;
0.000785439;1.29923;
0.000857439;1.39474;
0.000929439;1.48687;
0.00100144;1.57574;
0.00107344;1.66147;
0.00114544;1.74417;
0.00121744;1.82395;
0.00128944;1.9009;
0.00136144;1.97513;
0.00143344;2.04674;
0.00150544;2.11581;
0.00157744;2.18244;
0.00164944;2.24672;
0.00172144;2.30872;
0.00179344;2.36853;
0.00186544;2.42622;
0.00193744;2.48188;
0.00200944;2.53556;
0.00208144;2.58735;
0.00215344;2.63731;
0.00222544;2.6855;
0.00229744;2.73198;
0.00236944;2.77682;
0.00244144;2.82008;
0.00251344;2.86181;
0.00258544;2.90206;
0.00265744;2.94088;
0.00272944;2.97834;
0.00280144;3.01447;
0.00287344;3.04932;
0.00294544;3.08294;
0.00301744;3.11537;
0.00308944;3.14665;
0.00316144;3.17683;
0.00323344;3.20594;
0.00330544;3.23402;
0.00337744;3.26111;
0.00344944;3.28724;
0.00352144;3.31244;
0.00359344;3.33676;
0.00366544;3.36021;
0.00373744;3.38284;
0.00380944;3.40466;
0.00388144;3.42572;
0.00395344;3.44602;
0.00402544;3.46562;
0.00409744;3.48451;
0.00416944;3.50274;
0.00424144;3.52033;
