time;V(/vin);V(/vout);
0.1;0.00772018;-2.99065;
0.100001;0.0190299;-2.98465;
0.100001;0.0303395;-2.97864;
0.100001;0.0416491;-2.97261;
0.100001;0.0529584;-2.96658;
0.100002;0.0642676;-2.96054;
0.100002;0.0755766;-2.95448;
0.100002;0.0868853;-2.94842;
0.100003;0.0981937;-2.94234;
0.100003;0.109502;-2.93625;
0.100003;0.120809;-2.93016;
0.100004;0.132117;-2.92405;
0.100004;0.143423;-2.91793;
0.100004;0.15473;-2.9118;
0.100004;0.166035;-2.90567;
0.100005;0.17734;-2.89952;
0.100005;0.188645;-2.89336;
0.100005;0.199949;-2.88719;
0.100006;0.211252;-2.88101;
0.100006;0.222554;-2.87482;
0.100006;0.233856;-2.86862;
0.100007;0.245156;-2.86241;
0.100007;0.256456;-2.85619;
0.100007;0.267755;-2.84996;
0.100007;0.279053;-2.84372;
0.100008;0.29035;-2.83747;
0.100008;0.301646;-2.83121;
0.100008;0.312941;-2.82494;
0.100009;0.324235;-2.81866;
0.100009;0.335527;-2.81237;
0.100009;0.346819;-2.80607;
0.10001;0.358109;-2.79975;
0.10001;0.369398;-2.79343;
0.10001;0.380686;-2.7871;
0.10001;0.391972;-2.78076;
0.100011;0.403257;-2.77441;
0.100011;0.41454;-2.76805;
0.100011;0.425822;-2.76168;
0.100012;0.437103;-2.7553;
0.100012;0.448381;-2.74891;
0.100012;0.459659;-2.74251;
0.100013;0.470934;-2.7361;
0.100013;0.482208;-2.72968;
0.100013;0.493481;-2.72326;
0.100013;0.504751;-2.71682;
0.100014;0.51602;-2.71037;
0.100014;0.527287;-2.70391;
0.100014;0.538552;-2.69745;
0.100015;0.549815;-2.69097;
0.100015;0.561076;-2.68448;
0.100015;0.572335;-2.67799;
0.100016;0.583592;-2.67148;
0.100016;0.594848;-2.66497;
0.100016;0.6061;-2.65844;
0.100016;0.617351;-2.65191;
0.100017;0.6286;-2.64536;
0.100017;0.639846;-2.63881;
0.100017;0.65109;-2.63225;
0.100018;0.662332;-2.62568;
0.100018;0.673572;-2.6191;
0.100018;0.684809;-2.61251;
0.100019;0.696043;-2.60591;
0.100019;0.707275;-2.5993;
0.100019;0.718505;-2.59268;
0.100019;0.729732;-2.58606;
0.10002;0.740957;-2.57942;
0.10002;0.752178;-2.57277;
0.10002;0.763398;-2.56612;
0.100021;0.774614;-2.55946;
0.100021;0.785828;-2.55278;
0.100021;0.797039;-2.5461;
0.100022;0.808247;-2.53941;
0.100022;0.819452;-2.53271;
0.100022;0.830654;-2.526;
0.100022;0.841854;-2.51928;
0.100023;0.85305;-2.51256;
0.100023;0.864243;-2.50582;
0.100023;0.875433;-2.49908;
0.100024;0.886621;-2.49232;
0.100024;0.897805;-2.48556;
0.100024;0.908985;-2.47879;
0.100025;0.920163;-2.47201;
0.100025;0.931337;-2.46522;
0.100025;0.942508;-2.45842;
0.100025;0.953676;-2.45162;
0.100026;0.96484;-2.4448;
0.100026;0.976001;-2.43798;
0.100026;0.987158;-2.43115;
0.100027;0.998312;-2.42431;
0.100027;1.00946;-2.41746;
0.100027;1.02061;-2.4106;
0.100028;1.03175;-2.40373;
0.100028;1.04289;-2.39686;
0.100028;1.05403;-2.38997;
0.100028;1.06516;-2.38308;
0.100029;1.07629;-2.37618;
0.100029;1.08741;-2.36927;
0.100029;1.09853;-2.36235;
0.10003;1.10965;-2.35543;
0.10003;1.12076;-2.34849;
0.10003;1.13187;-2.34155;
0.100031;1.14298;-2.3346;
0.100031;1.15408;-2.32764;
0.100031;1.16517;-2.32067;
0.100031;1.17626;-2.3137;
0.100032;1.18735;-2.30671;
0.100032;1.19844;-2.29972;
0.100032;1.20952;-2.29272;
0.100033;1.22059;-2.28571;
0.100033;1.23166;-2.27869;
0.100033;1.24273;-2.27167;
0.100034;1.25379;-2.26464;
0.100034;1.26485;-2.2576;
0.100034;1.2759;-2.25055;
0.100034;1.28695;-2.24349;
0.100035;1.298;-2.23643;
0.100035;1.30904;-2.22935;
0.100035;1.32007;-2.22227;
0.100036;1.3311;-2.21518;
0.100036;1.34213;-2.20809;
0.100036;1.35315;-2.20098;
0.100037;1.36416;-2.19387;
0.100037;1.37517;-2.18675;
0.100037;1.38618;-2.17962;
0.100037;1.39718;-2.17249;
0.100038;1.40818;-2.16534;
0.100038;1.41917;-2.15819;
0.100038;1.43016;-2.15103;
0.100039;1.44114;-2.14387;
0.100039;1.45211;-2.13669;
0.100039;1.46308;-2.12951;
0.10004;1.47405;-2.12232;
0.10004;1.48501;-2.11513;
0.10004;1.49597;-2.10792;
0.10004;1.50692;-2.10071;
0.100041;1.51786;-2.09349;
0.100041;1.5288;-2.08627;
0.100041;1.53973;-2.07903;
0.100042;1.55066;-2.07179;
0.100042;1.56158;-2.06454;
0.100042;1.5725;-2.05729;
0.100043;1.58341;-2.05002;
0.100043;1.59432;-2.04275;
0.100043;1.60522;-2.03548;
0.100043;1.61611;-2.02819;
0.100044;1.627;-2.0209;
0.100044;1.63789;-2.0136;
0.100044;1.64876;-2.00629;
0.100045;1.65963;-1.99898;
0.100045;1.6705;-1.99166;
0.100045;1.68136;-1.98433;
0.100046;1.69221;-1.977;
0.100046;1.70306;-1.96965;
0.100046;1.7139;-1.9623;
0.100046;1.72474;-1.95495;
0.100047;1.73557;-1.94759;
0.100047;1.74639;-1.94022;
0.100047;1.75721;-1.93284;
0.100048;1.76802;-1.92546;
0.100048;1.77882;-1.91807;
0.100048;1.78962;-1.91067;
0.100049;1.80041;-1.90326;
0.100049;1.8112;-1.89585;
0.100049;1.82198;-1.88844;
0.100049;1.83275;-1.88101;
0.10005;1.84351;-1.87358;
0.10005;1.85427;-1.86614;
0.10005;1.86503;-1.8587;
0.100051;1.87577;-1.85125;
0.100051;1.88651;-1.84379;
0.100051;1.89724;-1.83633;
0.100052;1.90797;-1.82886;
0.100052;1.91869;-1.82138;
0.100052;1.9294;-1.8139;
0.100052;1.94011;-1.80641;
0.100053;1.95081;-1.79891;
0.100053;1.9615;-1.79141;
0.100053;1.97218;-1.7839;
0.100054;1.98286;-1.77638;
0.100054;1.99353;-1.76886;
0.100054;2.0042;-1.76133;
0.100055;2.01485;-1.7538;
0.100055;2.0255;-1.74626;
0.100055;2.03614;-1.73871;
0.100055;2.04678;-1.73116;
0.100056;2.05741;-1.7236;
0.100056;2.06803;-1.71604;
0.100056;2.07864;-1.70847;
0.100057;2.08925;-1.70089;
0.100057;2.09984;-1.6933;
0.100057;2.11043;-1.68572;
0.100058;2.12102;-1.67812;
0.100058;2.13159;-1.67052;
0.100058;2.14216;-1.66291;
