time;V(/vin);V(/vout);
0.100023;0.57427;0.573946;
0.100053;1.30586;1.30611;
0.100083;1.99119;1.80351;
0.100113;2.60598;1.87943;
0.100143;3.12845;1.90947;
0.100173;3.54009;1.92608;
0.100203;3.82633;1.9355;
0.100233;3.97701;1.94;
0.100263;3.98681;1.94052;
0.100293;3.85537;1.9364;
0.100323;3.58736;1.92767;
0.100353;3.19226;1.91231;
0.100383;2.68407;1.88493;
0.100413;2.0808;1.82146;
0.100443;1.40382;1.40348;
0.100473;0.6771;0.677391;
0.100503;-0.073602;-0.0738378;
0.100533;-0.821697;-0.821405;
0.100563;-1.54068;-1.53948;
0.100593;-2.20509;-1.84039;
0.100623;-2.79138;-1.89208;
0.100653;-3.27878;-1.9164;
0.100683;-3.65003;-1.92986;
0.100713;-3.89198;-1.93749;
0.100743;-3.99605;-1.94055;
0.100773;-3.95856;-1.9397;
0.100803;-3.78084;-1.93409;
0.100833;-3.46918;-1.92343;
0.100863;-3.03462;-1.90499;
0.100893;-2.49255;-1.87062;
0.100923;-1.86219;-1.76662;
0.100953;-1.16586;-1.16547;
0.100983;-0.428226;-0.428685;
0.101013;0.324576;0.32498;
0.101043;1.06588;1.06542;
0.101073;1.76943;1.725;
0.101103;2.41029;1.8632;
0.101133;2.96576;1.9016;
0.101163;3.41618;1.92157;
0.101193;3.74557;1.93299;
0.101223;3.94228;1.93897;
0.101253;3.99932;1.94091;
0.101283;3.91469;1.93816;
0.101313;3.69138;1.93121;
0.101343;3.3373;1.91835;
0.101373;2.865;1.89608;
0.101403;2.2912;1.85114;
0.101433;1.63623;1.62928;
0.101463;0.923302;0.922708;
0.101493;0.177663;0.178313;
0.101523;-0.57427;-0.574864;
0.101553;-1.30586;-1.3052;
0.101583;-1.99119;-1.80369;
0.101613;-2.60598;-1.87937;
0.101643;-3.12845;-1.90951;
0.101673;-3.54009;-1.92605;
0.101703;-3.82633;-1.93553;
0.101733;-3.97701;-1.93998;
0.101763;-3.98681;-1.94054;
0.101793;-3.85537;-1.93637;
0.101823;-3.58736;-1.9277;
0.101853;-3.19226;-1.91227;
0.101883;-2.68407;-1.88499;
0.101913;-2.0808;-1.8213;
0.101943;-1.40382;-1.40438;
0.101973;-0.6771;-0.676488;
0.102003;0.073602;0.0729347;
0.102033;0.821697;0.822308;
0.102063;1.54068;1.5386;
0.102093;2.20509;1.84052;
0.102123;2.79138;1.89204;
0.102153;3.27878;1.91642;
0.102183;3.65003;1.92983;
0.102213;3.89198;1.93751;
0.102243;3.99605;1.94052;
0.102273;3.95856;1.93971;
0.102303;3.78084;1.93406;
0.102333;3.46918;1.92346;
0.102363;3.03462;1.90495;
0.102393;2.49255;1.87069;
0.102423;1.86219;1.7663;
0.102453;1.16586;1.16636;
0.102483;0.428226;0.427796;
0.102513;-0.324576;-0.324091;
0.102543;-1.06588;-1.06631;
0.102573;-1.76943;-1.72452;
0.102603;-2.41029;-1.86328;
0.102633;-2.96576;-1.90156;
0.102663;-3.41618;-1.9216;
0.102693;-3.74557;-1.93296;
0.102723;-3.94228;-1.93899;
0.102753;-3.99932;-1.94089;
0.102783;-3.91469;-1.93818;
0.102813;-3.69138;-1.93119;
0.102843;-3.3373;-1.91838;
0.102873;-2.865;-1.89603;
0.102903;-2.2912;-1.85123;
0.102933;-1.63623;-1.62851;
0.102963;-0.923302;-0.923582;
0.102993;-0.177663;-0.177438;
0.103;2.11728e-13;-0.000279331;
