time;V(/vd);V(/vrsh);
0.1;0.00268334;1.13232e-05;
0.100003;0.0215318;1.1429e-05;
0.100006;0.0403801;1.15444e-05;
0.100009;0.0592282;1.16735e-05;
0.100012;0.0780758;1.18228e-05;
0.100015;0.0969228;1.20031e-05;
0.100018;0.115769;1.22314e-05;
0.100021;0.134614;1.25353e-05;
0.100024;0.153457;1.29596e-05;
0.100027;0.172298;1.35768e-05;
0.10003;0.191135;1.45042e-05;
0.100033;0.209967;1.59325e-05;
0.100036;0.22879;1.817e-05;
0.100039;0.247598;2.17157e-05;
0.100042;0.266385;2.73747e-05;
0.100045;0.285137;3.6441e-05;
0.100048;0.303833;5.09806e-05;
0.100051;0.32244;7.42576e-05;
0.100054;0.340908;0.000111342;
0.100057;0.359161;0.000169904;
0.10006;0.377086;0.000261071;
0.100063;0.394532;0.000400007;
0.100066;0.41131;0.000605551;
0.100069;0.427216;0.000898224;
0.100072;0.442064;0.0012965;
0.100075;0.45573;0.00181278;
0.100078;0.468167;0.00245185;
0.100081;0.479433;0.00320784;
0.100084;0.48962;0.00407157;
0.100087;0.498851;0.00503059;
0.10009;0.507257;0.00607199;
0.100093;0.514957;0.00718383;
0.100096;0.522056;0.00835556;
0.100099;0.528643;0.00957827;
0.100102;0.534793;0.0108445;
0.100105;0.540567;0.0121479;
0.100108;0.546019;0.0134835;
0.100111;0.551189;0.0148469;
0.100114;0.556114;0.0162346;
0.100117;0.560823;0.0176436;
0.10012;0.565342;0.0190714;
0.100123;0.569692;0.0205159;
0.100126;0.573891;0.0219752;
0.100129;0.577954;0.0234477;
0.100132;0.581895;0.0249322;
0.100135;0.585725;0.0264275;
0.100138;0.589454;0.0279325;
0.100141;0.593092;0.0294465;
0.100144;0.596645;0.0309685;
0.100147;0.600122;0.0324979;
0.10015;0.603527;0.0340341;
0.100153;0.606866;0.0355765;
0.100156;0.610144;0.0371247;
0.100159;0.613366;0.0386782;
0.100162;0.616535;0.0402366;
0.100165;0.619655;0.0417996;
0.100168;0.622729;0.0433668;
0.100171;0.625759;0.044938;
0.100174;0.628749;0.0465128;
0.100177;0.631701;0.0480911;
0.10018;0.634617;0.0496726;
0.100183;0.637499;0.051257;
0.100186;0.640349;0.0528443;
0.100189;0.643168;0.0544341;
0.100192;0.645959;0.0560265;
0.100195;0.648722;0.0576211;
0.100198;0.651459;0.059218;
0.100201;0.654172;0.0608168;
0.100204;0.656861;0.0624176;
0.100207;0.659527;0.0640202;
0.10021;0.662172;0.0656244;
0.100213;0.664796;0.0672303;
0.100216;0.6674;0.0688376;
0.100219;0.669986;0.0704464;
0.100222;0.672553;0.0720565;
0.100225;0.675103;0.0736678;
0.100228;0.677636;0.0752803;
0.100231;0.680153;0.0768939;
0.100234;0.682655;0.0785085;
