x1 time x2 v(/vin) x3 v(/vout)
Step Information:
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.21324872e-20 
 6.40000000e-07  6.40000000e-07  6.40000000e-07  1.44764588e-03  6.40000000e-07  1.54508974e-09 
 1.20732830e-06  1.20732830e-06  1.20732830e-06  2.73091218e-03  1.20732830e-06  2.99388855e-09 
 2.34198490e-06  2.34198490e-06  2.34198490e-06  5.29744435e-03  2.34198490e-06  6.05675417e-09 
 4.61129810e-06  4.61129810e-06  4.61129810e-06  1.04305053e-02  4.61129810e-06  1.32172358e-08 
 9.14992449e-06  9.14992449e-06  9.14992449e-06  2.06966006e-02  9.14992449e-06  3.22296182e-08 
 1.82271773e-05  1.82271773e-05  1.82271773e-05  4.12285793e-02  1.82271773e-05  9.45064744e-08 
 3.59178847e-05  3.59178847e-05  3.59178847e-05  8.12418585e-02  3.59178847e-05  3.72777642e-07 
 5.69611182e-05  5.69611182e-05  5.69611182e-05  1.28833112e-01  5.69611182e-05  1.25625871e-06 
 8.36427061e-05  8.36427061e-05  8.36427061e-05  1.89163993e-01  8.36427061e-05  4.78466330e-06 
 1.13982409e-04  1.13982409e-04  1.13982409e-04  2.57742800e-01  1.13982409e-04  1.95809606e-05 
 1.48133045e-04  1.48133045e-04  1.48133045e-04  3.34894920e-01  1.48133045e-04  9.14237872e-05 
 1.85517270e-04  1.85517270e-04  1.85517270e-04  4.19288167e-01  1.85517270e-04  4.81494686e-04 
 2.25919098e-04  2.25919098e-04  2.25919098e-04  5.10399379e-01  2.25919098e-04  2.79261283e-03 
 2.69287223e-04  2.69287223e-04  2.69287223e-04  6.08067625e-01  2.69287223e-04  1.56885916e-02 
 3.16571921e-04  3.16571921e-04  3.16571921e-04  7.14370176e-01  3.16571921e-04  6.35708994e-02 
 3.74429531e-04  3.74429531e-04  3.74429531e-04  8.44129875e-01  3.74429531e-04  1.72912884e-01 
 4.29422296e-04  4.29422296e-04  4.29422296e-04  9.67093160e-01  4.29422296e-04  2.96238764e-01 
 4.93422296e-04  4.93422296e-04  4.93422296e-04  1.10966957e+00  4.93422296e-04  4.38943608e-01 
 5.57422296e-04  5.57422296e-04  5.57422296e-04  1.25160003e+00  5.57422296e-04  5.81076848e-01 
 6.21422296e-04  6.21422296e-04  6.21422296e-04  1.39280193e+00  6.21422296e-04  7.22482102e-01 
 6.85422296e-04  6.85422296e-04  6.85422296e-04  1.53319308e+00  6.85422296e-04  8.63112874e-01 
 7.49422296e-04  7.49422296e-04  7.49422296e-04  1.67269175e+00  7.49422296e-04  1.00288230e+00 
 8.13422296e-04  8.13422296e-04  8.13422296e-04  1.81121673e+00  8.13422296e-04  1.14171030e+00 
 8.77422296e-04  8.77422296e-04  8.77422296e-04  1.94868740e+00  8.77422296e-04  1.27951645e+00 
 9.41422296e-04  9.41422296e-04  9.41422296e-04  2.08502373e+00  9.41422296e-04  1.41622113e+00 
 1.00542230e-03  1.00542230e-03  1.00542230e-03  2.22014635e+00  1.00542230e-03  1.55174540e+00 
 1.06942230e-03  1.06942230e-03  1.06942230e-03  2.35397662e+00  1.06942230e-03  1.68601109e+00 
 1.13342230e-03  1.13342230e-03  1.13342230e-03  2.48643662e+00  1.13342230e-03  1.81894080e+00 
 1.19742230e-03  1.19742230e-03  1.19742230e-03  2.61744926e+00  1.19742230e-03  1.95045802e+00 
 1.26142230e-03  1.26142230e-03  1.26142230e-03  2.74693827e+00  1.26142230e-03  2.08048711e+00 
 1.32542230e-03  1.32542230e-03  1.32542230e-03  2.87482828e+00  1.32542230e-03  2.20895338e+00 
